Date,Surface_Type,Surface_Condition,Pothole_Density,Slope_Angle_Degrees,Traffic_Density,Flood_Level_m,Access_Status,Dust_Level_PPM,Ground_Vibration_mm_s,Road_Temperature_C,Rainfall_mm,Soil_Moisture_%,Maintenance_Activity,Accident_Count,Road_Condition_Status
2025-01-01 00:00:00,Soil,Dry,14.28,11.81,56.03,1.81,Safe,357.51,28.35,50.39,47.53,36.4,None,0,Operational
2025-01-01 01:00:00,Mud,Wet,7.84,20.42,33.98,1.28,Under Repair,206.99,0.82,38.54,15.85,57.0,Ongoing,0,Severely Damaged
2025-01-01 02:00:00,Asphalt,Dry,3.83,21.88,37.26,1.02,Safe,278.0,3.59,36.08,47.91,8.7,None,0,Operational
2025-01-01 03:00:00,Asphalt,Dry,1.8,12.24,23.35,1.07,Safe,149.4,24.03,37.72,0.8,24.5,None,0,Operational
2025-01-01 04:00:00,Asphalt,Dry,6.88,18.12,16.71,0.69,Safe,449.13,23.46,55.28,3.56,8.7,None,0,Operational
2025-01-01 05:00:00,Asphalt,Dry,4.34,6.77,92.8,1.64,Safe,18.51,18.83,27.3,27.75,8.3,None,0,Operational
2025-01-01 06:00:00,Soil,Dry,1.2,3.24,39.62,0.64,Safe,251.26,23.72,27.34,47.28,23.3,None,0,Operational
2025-01-01 07:00:00,Asphalt,Wet,12.31,9.64,24.07,0.24,Safe,217.27,24.84,25.9,8.97,13.9,None,0,Operational
2025-01-01 08:00:00,Soil,Wet,7.03,12.82,69.52,1.67,Safe,252.92,22.58,47.62,43.13,59.2,None,0,Severely Damaged
2025-01-01 09:00:00,Asphalt,Dry,3.62,5.24,56.52,2.0,Safe,71.49,15.56,40.32,22.79,54.0,Recently Completed,0,Operational
2025-01-01 10:00:00,Soil,Dry,13.08,2.53,30.26,0.86,Safe,466.57,10.87,42.17,21.55,7.2,None,0,Closed
2025-01-01 11:00:00,Asphalt,Dry,8.08,11.5,67.67,1.39,Safe,60.13,5.2,48.29,49.31,31.7,None,0,Closed
2025-01-01 12:00:00,Mud,Wet,13.87,5.76,80.78,0.85,Safe,123.06,15.9,33.82,13.08,29.3,None,1,Operational
