Timestamp,Machine_ID,Machine_Type,Engine_Temperature_C,Oil_Pressure_Bar,Fuel_Level_Percent,Engine_RPM,Vibration_Level_g,Hydraulic_Pressure_Bar,Working_Hours,Maintenance_Status,Fault_Code,Operational_Mode,Ambient_Temperature_C,Operator_ID,Gear_Position,Fuel_Consumption_L_h,Torque_Nm,Engine_Load_Percent,Machine_Failure
2025-01-01 00:00:00,MCH_915,Dump Truck,114.11,3.71,61.1,2564,2.58,96.59,10747.0,Normal,4,Load,26.9,OP_49,1,30.56,1033.48,62.5,0
2025-01-01 01:00:00,MCH_720,Loader,61.48,1.99,71.4,2947,2.98,88.85,9322.5,Overdue,4,Idle,35.4,OP_49,1,55.99,388.45,52.2,0
2025-01-01 02:00:00,MCH_308,Bulldozer,109.58,1.67,95.9,1476,1.05,204.42,7016.7,Normal,2,Idle,39.8,OP_44,2,18.51,199.82,56.8,0
2025-01-01 03:00:00,MCH_903,Dump Truck,114.89,2.78,19.2,1167,1.93,157.18,9445.9,Normal,8,Dumping,30.8,OP_3,1,33.37,147.16,56.8,0
2025-01-01 04:00:00,MCH_185,Bulldozer,88.67,4.2,92.9,1162,3.42,265.52,1601.4,Normal,2,Load,37.6,OP_5,3,17.48,746.35,51.4,0
2025-01-01 05:00:00,MCH_816,Dump Truck,110.69,4.1,9.1,809,0.76,100.67,8359.5,Normal,0,Load,37.6,OP_3,N,29.41,825.92,20.2,0
2025-01-01 06:00:00,MCH_263,Bulldozer,104.9,1.87,33.2,2133,1.89,258.19,1225.8,Normal,6,Idle,44.1,OP_26,N,58.44,1345.17,24.2,0
2025-01-01 07:00:00,MCH_271,Bulldozer,115.05,4.84,20.0,2087,3.41,213.32,2355.3,Normal,2,Load,29.5,OP_27,1,18.09,891.49,19.5,0
2025-01-01 08:00:00,MCH_340,Bulldozer,101.57,3.09,77.3,2766,3.2,89.64,7806.8,Normal,3,Idle,32.4,OP_13,3,42.21,1483.84,24.1,0
2025-01-01 09:00:00,MCH_469,Dump Truck,87.71,5.36,96.9,1251,1.88,105.54,2318.0,Normal,9,Idle,38.8,OP_29,1,26.69,170.36,73.3,0
2025-01-01 10:00:00,MCH_673,Drill,63.69,1.96,10.3,2237,2.4,82.57,11868.3,Overdue,5,Load,30.3,OP_11,2,27.79,955.86,37.7,0
2025-01-01 11:00:00,MCH_984,Excavator,60.54,2.44,79.2,1585,2.82,178.29,5170.8,Need Service,8,Idle,26.4,OP_42,1,35.57,1470.16,99.2,0
2025-01-01 12:00:00,MCH_207,Excavator,70.74,1.36,89.7,1826,0.48,230.26,11510.7,Normal,7,Idle,28.0,OP_8,1,25.67,1188.55,94.9,0
2025-01-01 13:00:00,MCH_282,Drill,64.77,4.24,98.6,2753,2.34,246.99,3035.3,Normal,9,Load,44.2,OP_36,N,16.09,340.69,15.3,0
2025-01-01 14:00:00,MCH_137,Drill,65.3,4.08,24.0,2533,0.65,214.4,437.3,Normal,3,Load,40.1,OP_23,N,38.43,290.91,65.5,0
2025-01-01 15:00:00,MCH_153,Excavator,70.11,2.67,27.0,2586,2.1,236.05,10911.2,Normal,7,Idle,35.9,OP_30,3,34.28,377.76,23.3,0
2025-01-01 16:00:00,MCH_979,Loader,65.6,5.81,29.8,2568,2.71,178.95,7852.6,Normal,6,Idle,40.3,OP_27,1,50.15,1302.4,62.0,0
2025-01-01 17:00:00,MCH_541,Excavator,115.58,5.44,89.5,1862,2.8,175.21,235.0,Normal,7,Idle,28.6,OP_7,1,17.42,164.76,44.4,0
2025-01-01 18:00:00,MCH_189,Bulldozer,117.52,4.84,35.7,1148,3.57,290.75,736.9,Need Service,8,Idle,38.7,OP_36,3,13.32,1199.97,27.2,0
2025-01-01 19:00:00,MCH_397,Bulldozer,93.06,5.69,6.8,2067,1.16,146.48,6070.6,Need Service,6,Load,32.0,OP_17,4,27.51,706.27,28.6,0
2025-01-01 20:00:00,MCH_905,Excavator,95.7,4.25,83.4,2866,3.95,187.12,2504.5,Normal,4,Travel,34.6,OP_45,1,11.11,544.04,95.9,0
2025-01-01 21:00:00,MCH_433,Loader,116.38,4.36,54.7,951,1.81,122.94,3801.9,Normal,8,Travel,34.9,OP_30,5,30.19,358.16,11.6,0
2025-01-01 22:00:00,MCH_797,Dump Truck,90.12,3.44,50.9,1270,0.59,84.24,3266.1,Need Service,8,Travel,40.5,OP_9,4,18.64,700.55,85.3,1
2025-01-01 23:00:00,MCH_539,Excavator,68.87,1.04,39.2,1771,1.31,240.37,1724.4,Normal,4,Load,32.2,OP_26,3,44.52,956.36,79.7,0
2025-01-02 00:00:00,MCH_532,Dump Truck,73.52,4.44,7.7,1372,2.5,212.41,10217.3,Normal,8,Idle,28.8,OP_44,N,25.85,900.98,17.4,0
2025-01-02 01:00:00,MCH_132,Dump Truck,89.15,2.56,43.8,979,1.07,200.85,4155.1,Normal,4,Idle,27.1,OP_19,N,32.04,1393.5,99.5,0
2025-01-02 02:00:00,MCH_868,Bulldozer,77.33,2.61,62.6,2042,1.99,161.15,10441.0,Normal,2,Travel,25.3,OP_36,2,34.29,1159.75,21.8,0
2025-01-02 03:00:00,MCH_307,Bulldozer,89.69,2.19,52.1,2519,3.79,241.94,1397.7,Normal,4,Idle,38.5,OP_23,1,38.68,905.9,22.9,0
2025-01-02 04:00:00,MCH_228,Excavator,77.59,2.67,85.2,1336,2.66,256.13,5606.7,Normal,5,Travel,30.5,OP_27,3,46.89,1198.2,45.0,0
2025-01-02 05:00:00,MCH_506,Bulldozer,79.91,5.77,34.9,1281,2.01,236.65,4310.1,Need Service,3,Idle,39.4,OP_42,2,22.31,523.73,28.7,0
2025-01-02 06:00:00,MCH_311,Excavator,90.47,1.05,10.4,2430,0.44,290.89,3995.9,Normal,4,Dumping,30.7,OP_29,1,37.29,466.49,17.2,0
2025-01-02 07:00:00,MCH_877,Drill,91.71,2.67,67.2,1631,4.2,190.59,717.8,Normal,4,Travel,28.2,OP_36,1,21.9,715.7,94.0,0
2025-01-02 08:00:00,MCH_262,Excavator,100.92,2.55,26.2,1997,1.6,128.34,7353.1,Need Service,5,Idle,43.9,OP_39,2,27.45,543.59,36.7,0
2025-01-02 09:00:00,MCH_921,Bulldozer,115.84,4.05,21.3,1237,0.34,205.97,7166.1,Need Service,3,Idle,39.5,OP_44,N,39.75,478.89,15.8,0
2025-01-02 10:00:00,MCH_568,Excavator,70.61,2.23,90.6,2653,0.8,290.01,1415.5,Normal,5,Idle,33.2,OP_30,1,17.33,1355.45,83.9,0
2025-01-02 11:00:00,MCH_295,Drill,87.04,2.48,40.4,1229,3.86,229.05,4644.4,Normal,7,Load,35.1,OP_38,4,7.98,808.68,46.2,0
2025-01-02 12:00:00,MCH_920,Excavator,92.18,2.29,73.8,2802,0.36,128.36,1737.1,Normal,2,Load,34.0,OP_29,N,30.42,503.79,10.9,1
2025-01-02 13:00:00,MCH_850,Bulldozer,66.57,1.81,80.7,2850,2.36,249.98,8009.5,Normal,7,Travel,41.6,OP_23,3,7.74,798.41,50.1,0
2025-01-02 14:00:00,MCH_520,Dump Truck,75.04,4.23,77.9,1351,1.01,234.1,326.9,Normal,0,Load,37.2,OP_19,N,11.39,1001.38,74.2,0
2025-01-02 15:00:00,MCH_821,Dump Truck,87.61,5.83,78.8,2183,0.14,128.26,6603.5,Normal,9,Travel,39.7,OP_17,1,59.87,1236.42,41.5,0
2025-01-02 16:00:00,MCH_483,Dump Truck,101.64,2.27,11.7,1335,4.32,256.8,11390.8,Normal,2,Idle,36.2,OP_46,1,16.32,873.55,30.8,0
2025-01-02 17:00:00,MCH_628,Drill,70.03,5.11,98.3,1025,3.8,93.67,3274.2,Normal,4,Travel,42.1,OP_15,4,24.08,201.28,78.7,0
2025-01-02 18:00:00,MCH_175,Excavator,79.17,5.27,12.9,1740,0.47,139.94,9400.5,Normal,8,Load,30.8,OP_8,4,37.76,883.76,81.1,0
2025-01-02 19:00:00,MCH_377,Excavator,76.63,1.86,92.6,2834,0.73,84.08,8961.6,Normal,4,Load,44.1,OP_35,3,22.88,1483.3,27.5,0
2025-01-02 20:00:00,MCH_660,Bulldozer,73.65,2.91,25.8,935,3.23,277.46,5148.0,Need Service,0,Load,34.8,OP_45,1,44.84,637.32,29.2,0
2025-01-02 21:00:00,MCH_197,Drill,76.58,2.32,81.8,981,0.17,237.91,844.6,Normal,0,Travel,36.0,OP_28,3,47.73,1234.93,95.4,0
2025-01-02 22:00:00,MCH_402,Dump Truck,118.06,1.92,64.4,2039,3.25,262.28,6288.6,Normal,8,Dumping,37.2,OP_45,2,17.54,355.17,63.3,0
2025-01-02 23:00:00,MCH_725,Dump Truck,78.18,5.14,53.2,2570,2.76,131.76,6209.8,Normal,3,Load,28.5,OP_18,N,40.45,491.63,35.7,0
2025-01-03 00:00:00,MCH_636,Loader,108.62,5.77,11.8,2851,0.51,293.02,10209.7,Normal,9,Travel,31.2,OP_18,1,19.64,1307.93,11.8,0
2025-01-03 01:00:00,MCH_150,Excavator,108.53,5.46,58.3,2174,3.91,157.1,1454.6,Normal,1,Travel,40.9,OP_38,3,28.79,701.04,87.4,0
2025-01-03 02:00:00,MCH_156,Excavator,76.8,2.54,86.0,1145,3.32,200.36,8794.7,Normal,0,Load,30.3,OP_47,3,24.05,830.81,71.5,0
2025-01-03 03:00:00,MCH_367,Excavator,108.0,3.34,86.6,2382,3.64,251.22,4044.8,Need Service,6,Travel,38.4,OP_38,1,19.18,1091.98,22.0,0
2025-01-03 04:00:00,MCH_645,Bulldozer,73.28,1.8,69.2,2588,2.8,171.67,8490.3,Normal,7,Load,29.7,OP_22,3,36.83,780.55,17.3,0
2025-01-03 05:00:00,MCH_362,Drill,92.2,2.93,68.0,2045,0.61,85.46,1436.3,Need Service,9,Idle,44.7,OP_33,2,47.46,1109.2,13.6,0
2025-01-03 06:00:00,MCH_978,Loader,105.2,3.22,23.5,2445,4.62,219.75,9281.0,Normal,2,Load,29.6,OP_8,2,28.41,372.7,35.4,0
2025-01-03 07:00:00,MCH_274,Excavator,88.99,3.19,80.1,954,4.72,246.06,5547.6,Normal,3,Load,31.0,OP_35,2,32.98,219.15,93.3,0
2025-01-03 08:00:00,MCH_302,Dump Truck,64.56,2.11,82.9,1598,4.54,161.69,1959.7,Normal,5,Load,43.8,OP_43,N,49.55,969.4,56.6,0
2025-01-03 09:00:00,MCH_219,Dump Truck,82.09,5.36,27.2,1306,3.54,113.57,1325.6,Overdue,1,Load,38.0,OP_45,N,10.76,1180.57,23.1,0
2025-01-03 10:00:00,MCH_235,Bulldozer,82.59,2.8,11.5,2458,1.71,100.02,1765.2,Overdue,9,Idle,34.8,OP_21,N,56.61,307.03,92.1,0
2025-01-03 11:00:00,MCH_194,Excavator,110.18,2.69,43.6,2278,1.13,94.51,10734.0,Normal,9,Load,35.4,OP_24,4,10.05,1253.53,94.8,0
2025-01-03 12:00:00,MCH_948,Loader,95.81,3.18,22.4,1887,4.45,109.59,7096.7,Overdue,9,Dumping,39.5,OP_25,3,49.13,633.17,69.2,1
2025-01-03 13:00:00,MCH_771,Excavator,69.8,3.98,26.7,2700,3.65,102.38,9738.5,Need Service,1,Idle,35.2,OP_9,2,50.94,1446.18,32.3,0
2025-01-03 14:00:00,MCH_514,Excavator,92.81,2.42,49.1,2760,3.9,267.39,11241.0,Normal,8,Idle,28.6,OP_20,4,31.84,865.08,70.7,0
2025-01-03 15:00:00,MCH_965,Bulldozer,97.31,3.14,36.8,2119,0.73,289.0,10536.8,Normal,9,Idle,31.7,OP_33,1,49.52,1107.7,14.6,0
2025-01-03 16:00:00,MCH_805,Excavator,86.96,3.66,54.5,1490,1.24,147.79,5011.1,Need Service,0,Idle,38.8,OP_32,3,8.87,586.83,10.3,0
2025-01-03 17:00:00,MCH_652,Loader,102.81,4.27,13.1,2030,4.11,171.24,2442.6,Normal,9,Idle,27.9,OP_26,N,20.82,1249.19,61.8,0
2025-01-03 18:00:00,MCH_697,Bulldozer,70.76,3.14,5.6,858,0.43,138.11,151.9,Normal,0,Load,45.0,OP_48,2,48.53,1332.5,57.5,0
2025-01-03 19:00:00,MCH_131,Excavator,63.12,3.06,40.4,2414,2.1,123.63,1670.7,Need Service,5,Load,42.6,OP_39,3,50.82,945.31,72.0,0
2025-01-03 20:00:00,MCH_933,Excavator,75.86,4.43,69.5,2623,0.65,269.68,8345.1,Normal,3,Travel,34.4,OP_7,1,58.07,749.75,18.0,0
2025-01-03 21:00:00,MCH_693,Dump Truck,60.33,1.68,50.2,2076,1.48,252.77,3766.2,Need Service,3,Travel,44.5,OP_49,1,10.85,883.38,58.3,0
2025-01-03 22:00:00,MCH_462,Bulldozer,63.53,1.06,98.5,1450,0.33,181.99,7795.9,Need Service,1,Load,27.6,OP_25,2,45.24,686.18,14.2,0
2025-01-03 23:00:00,MCH_727,Excavator,84.44,5.58,43.3,2121,2.51,155.01,7604.5,Need Service,1,Idle,40.4,OP_11,1,24.58,333.67,59.5,1
