Record_Timestamp,Logistics_ID,Date,Route_Code,Origin_Location,Destination_Location,Cargo_Type,Cargo_Weight_Tons,Transport_Mode,Vessel_ID,Machine_ID,Distance_km,Travel_Time_hr,Actual_Travel_Time_hr,Fuel_Used_Liters,Fuel_Cost_USD,Delivery_Status,Delay_Cause,CO2_Emission_kg,Driver_ID,Delivery_Risk_Level
2025-01-01 00:00:00,LG_1,2025-01-01,R2,Warehouse C,Smelter Gamma,Iron Sand,4539.8,Truck,VS_66,MCH_242,392.9,56.9,56.9,903.4,1094.23,Delivered,Mechanical,1549.7,DRV_298,Low
2025-01-01 01:00:00,LG_2,2025-01-01,R1,Mine B,Smelter Gamma,General Cargo,665.8,Truck,VS_79,MCH_456,754.0,69.4,3.4,1364.2,4208.12,Cancelled,Traffic,2947.6,DRV_167,Low
2025-01-01 02:00:00,LG_3,2025-01-01,R4,Mine B,Warehouse Delta,Nickel,3708.0,Vessel,VS_89,MCH_811,822.1,27.9,68.9,686.8,1581.14,Delivered,Road,2682.5,DRV_256,Medium
2025-01-01 03:00:00,LG_4,2025-01-01,R5,Mine B,Smelter Gamma,Iron Sand,2037.0,Train,VS_192,MCH_775,70.6,10.1,41.7,1281.3,392.16,In Transit,None,1196.2,DRV_115,Medium
2025-01-01 04:00:00,LG_5,2025-01-01,R3,Processing Plant,Warehouse Delta,Nickel,4509.3,Vessel,VS_135,MCH_758,29.0,33.8,13.7,1756.5,3314.94,Delivered,None,1512.2,DRV_26,Medium
2025-01-01 05:00:00,LG_6,2025-01-01,R2,Warehouse C,Warehouse Delta,Fuel,1009.6,Train,VS_82,MCH_605,528.1,46.4,75.3,559.3,1649.69,In Transit,Mechanical,298.1,DRV_256,Medium
2025-01-01 06:00:00,LG_7,2025-01-01,R3,Processing Plant,Port Alpha,Coal,1820.4,Vessel,VS_63,MCH_518,741.2,39.1,81.1,1406.0,4714.75,Delivered,None,2689.8,DRV_205,Low
2025-01-01 07:00:00,LG_8,2025-01-01,R4,Warehouse C,Port Alpha,Nickel,972.7,Train,VS_70,MCH_140,326.8,9.8,48.0,1849.3,3276.65,In Transit,Traffic,1120.4,DRV_237,High
2025-01-01 08:00:00,LG_9,2025-01-01,R2,Mine B,Port Beta,Iron Sand,2451.5,Truck,VS_104,MCH_397,750.3,4.6,47.8,1802.1,3826.42,Delivered,Mechanical,1741.6,DRV_258,Low
2025-01-01 09:00:00,LG_10,2025-01-01,R5,Mine B,Port Beta,Coal,4541.7,Vessel,VS_152,MCH_604,324.8,21.8,42.5,300.6,2317.16,In Transit,None,780.7,DRV_157,Medium
